"","...1","...2","Latitude","Longitude","Elevation","Canopy_Height_cm","SampleYear","Site","...9","SampleDate","SampleID","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","max_mean_width_cm","Match","SampleSite","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleID_standard","Species"
"255",343,345,NA,NA,NA,108,2016,"Kluane",NA,2016-08-07,"KP16SR42",154,186,119,138,NA,72,75,NA,NA,NA,NA,170,"KP16SR42","Kluane Plateau",NA,2016-08-09,2016,37,38.5,11.4,"KP16SR42","Salix richardsonii"
"256",344,346,NA,NA,NA,111,2016,"Kluane",NA,2016-08-07,"KP16SR43",272,250,132,162,NA,71,85,NA,NA,NA,NA,261,"KP16SR43","Kluane Plateau",NA,2016-08-09,2016,61,51.6,10.3,"KP16SR43","Salix richardsonii"
"257",345,347,NA,NA,NA,66,2016,"Kluane",NA,2016-08-07,"KP16SR44",222,187,207,109,NA,66,71,NA,NA,NA,NA,204.5,"KP16SR44","Kluane Plateau",NA,2016-08-09,2016,34,43.5,12.7,"KP16SR44","Salix richardsonii"
"258",346,348,NA,NA,NA,76,2016,"Kluane",NA,2016-08-07,"KP16SR45",206,207,96,105,NA,62,59,NA,NA,NA,NA,206.5,"KP16SR45","Kluane Plateau",NA,2016-08-09,2016,44,43.4,11.3,"KP16SR45","Salix richardsonii"
"259",347,349,NA,NA,NA,124.5,2016,"Kluane",NA,2016-08-07,"KP16SR46",245,193,14.5,14.5,NA,6.5,6.9,NA,NA,NA,NA,219,"KP16SR46","Kluane Plateau",NA,2016-08-09,2016,64.1,54.8,14.3,"KP16SR46","Salix richardsonii"
"260",348,350,NA,NA,NA,116,2016,"Kluane",NA,2016-08-07,"KP16SR47",193,179,9.4,15.6,NA,8.5,9.3,NA,NA,NA,NA,186,"KP16SR47","Kluane Plateau",NA,2016-08-09,2016,33.5,35.4,11.2,"KP16SR47","Salix richardsonii"
"261",349,351,NA,NA,NA,61,2016,"Kluane",NA,2016-08-07,"KP16SR48",54,37,8.4,7.2,NA,4.2,4.4,NA,NA,NA,NA,45.5,"KP16SR48","Kluane Plateau",NA,2016-08-09,2016,18.1,39.9,6.9,"KP16SR48","Salix richardsonii"
"262",350,352,NA,NA,NA,88,2016,"Kluane",NA,2016-08-07,"KP16SR49",213,198,10.1,10.9,NA,8.1,7.5,NA,NA,NA,NA,205.5,"KP16SR49","Kluane Plateau",NA,2016-08-09,2016,47.6,45.5,20.4,"KP16SR49","Salix richardsonii"
"263",194,185,NA,NA,NA,157,2016,"Kluane",NA,2016-07-05,"KP16SR5",329,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,"KP16SR5","Kluane Plateau",2016-07-06,2016-08-08,2016,57.3,36.4,10.2,"KP16SR5","Salix richardsonii"
"264",351,353,NA,NA,NA,143,2016,"Kluane",NA,2016-08-07,"KP16SR50",165,215,11.5,13.1,NA,7.3,6.8,NA,NA,NA,NA,190,"KP16SR50","Kluane Plateau",NA,2016-08-09,2016,51.8,37.5,19.1,"KP16SR50","Salix richardsonii"
"265",352,354,NA,NA,NA,67,2016,"Kluane",NA,2016-08-07,"KP16SR51",142,115,101,138,NA,56,57,NA,NA,NA,NA,128.5,"KP16SR51","Kluane Plateau",NA,2016-08-09,2016,35,46.7,10.5,"KP16SR51","Salix richardsonii"
"266",353,355,NA,NA,NA,71,2016,"Kluane",NA,2016-08-07,"KP16SR52",145,104,115,133,NA,51,50,NA,NA,NA,NA,124.5,"KP16SR52","Kluane Plateau",NA,2016-08-09,2016,25,34.1,9.7,"KP16SR52","Salix richardsonii"
"267",354,356,NA,NA,NA,92,2016,"Kluane",NA,2016-08-07,"KP16SR53",248,218,71,56,NA,46,48,NA,NA,NA,NA,233,"KP16SR53","Kluane Plateau",NA,2016-08-09,2016,36,36.3,9.1,"KP16SR53","Salix richardsonii"
"268",355,357,NA,NA,NA,66,2016,"Kluane",NA,2016-08-07,"KP16SR54",123,114,165,183,NA,70,81,NA,NA,NA,NA,118.5,"KP16SR54","Kluane Plateau",NA,2016-08-09,2016,20,28.1,7.7,"KP16SR54","Salix richardsonii"
"269",356,358,NA,NA,NA,44,2016,"Kluane",NA,2016-08-07,"KP16SR55",102,65,90,96,NA,50,53,NA,NA,NA,NA,83.5,"KP16SR55","Kluane Plateau",NA,2016-08-09,2016,12,31.7,8.1,"KP16SR55","Salix richardsonii"
"270",357,359,NA,NA,NA,102,2016,"Kluane",NA,2016-08-07,"KP16SR56",189,197,12.2,12.1,NA,5.3,5.8,NA,NA,NA,NA,193,"KP16SR56","Kluane Plateau",NA,2016-08-09,2016,36.8,46.6,9.6,"KP16SR56","Salix richardsonii"
"271",358,360,NA,NA,NA,70,2016,"Kluane",NA,2016-08-07,"KP16SR57",122,95,9.6,4,NA,6.7,6.1,NA,NA,NA,NA,108.5,"KP16SR57","Kluane Plateau",NA,2016-08-09,2016,22.7,43.4,12.7,"KP16SR57","Salix richardsonii"
"272",359,361,NA,NA,NA,54,2016,"Kluane",NA,2016-08-07,"KP16SR58",104,84,4.4,5.5,NA,5.7,5.6,NA,NA,NA,NA,94,"KP16SR58","Kluane Plateau",NA,2016-08-09,2016,20.8,33.2,9.2,"KP16SR58","Salix richardsonii"
"273",360,362,NA,NA,NA,96,2016,"Kluane",NA,2016-08-07,"KP16SR59",119,66,4.3,6.1,NA,5.9,4.3,NA,NA,NA,NA,92.5,"KP16SR59","Kluane Plateau",NA,2016-08-09,2016,27.1,45.9,15.9,"KP16SR59","Salix richardsonii"
"274",361,363,NA,NA,NA,71,2016,"Kluane",NA,2016-08-07,"KP16SR60",175,162,14.3,9.2,NA,6,6.6,NA,NA,NA,NA,168.5,"KP16SR60","Kluane Plateau",NA,2016-08-09,2016,26.9,45.4,12.7,"KP16SR60","Salix richardsonii"
"275",195,186,NA,NA,NA,54,2016,"Kluane",NA,2016-07-05,"KP16SR7",102,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.5,"KP16SR7","Kluane Plateau",2016-07-06,2016-08-08,2016,18.1,29.9,10.8,"KP16SR7","Salix richardsonii"
"276",196,187,NA,NA,NA,58,2016,"Kluane",NA,2016-07-05,"KP16SR8",131,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,"KP16SR8","Kluane Plateau",2016-07-06,2016-08-08,2016,29.4,35.7,12.4,"KP16SR8","Salix richardsonii"
