"","SampleID","Match","SampleSite","SampleDate","Date_propagated","Date_planted","Year_planted","Canopy_Height_cm","Width_cm","Width_2_cm","Mother_LS","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Cutting_length","Cutting_diameter","Site","SampleYear","mean_stem_elong","mean_leaf_length","mean_width","SampleID_standard"
"228","PC16CESP3","PC16CESp3","Pika Camp",2016-06-30,2016-07-02,2016-08-08,2016,96,329,238,29.9,NA,NA,NA,NA,NA,NA,34.3,11.4,"Kluane",2016,NA,NA,283.5,"PC16CESP3"
"229","PC16CESP4","PC16CESp4","Pika Camp",2016-06-30,2016-07-02,2016-08-08,2016,14,75,68,8,NA,NA,NA,NA,NA,NA,33.5,8.6,"Kluane",2016,NA,NA,71.5,"PC16CESP4"
"230","PC16CESP5","PC16CESp5","Pika Camp",2016-06-30,2016-07-02,2016-08-08,2016,34,128,99,11,NA,NA,NA,NA,NA,NA,38.3,11.1,"Kluane",2016,NA,NA,113.5,"PC16CESP5"
"231","PC16CESP6","PC16CESp6","Pika Camp",2016-06-30,NA,2016-07-02,2016,69,145,177,18,NA,NA,NA,NA,NA,NA,22.6,8.8,"Kluane",2016,NA,NA,161,"PC16CESP6"
"232","PC16CESP7","PC16CESp7","Pika Camp",2016-06-30,NA,2016-07-02,2016,32,233,195,35,NA,NA,NA,NA,NA,NA,28.8,9.5,"Kluane",2016,NA,NA,214,"PC16CESP7"
"233","PC16CESP8","PC16CESp8","Pika Camp",2016-06-30,NA,2016-07-02,2016,40,306,217,22,NA,NA,NA,NA,NA,NA,29.9,9.7,"Kluane",2016,NA,NA,261.5,"PC16CESP8"
"234","PC16CESP9","PC16CESp9","Pika Camp",2016-06-30,NA,2016-07-02,2016,38,105,83,12,NA,NA,NA,NA,NA,NA,25,9.2,"Kluane",2016,NA,NA,94,"PC16CESP9"
"235","PC16CESP10","PC16CESp10","Pika Camp",2016-06-30,NA,2016-07-02,2016,61,251,209,30,NA,NA,NA,NA,NA,NA,24.8,8.8,"Kluane",2016,NA,NA,230,"PC16CESP10"
"236","PC16CESA1","PC16CESa1","Pika Camp",2016-06-30,NA,2016-07-02,2016,5,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,"Kluane",2016,NA,NA,NA,"PC16CESA1"
"237","PC16CESA2","PC16CESa2","Pika Camp",2016-06-30,NA,2016-07-02,2016,7,60,45,8.4,NA,NA,NA,NA,NA,NA,NA,NA,"Kluane",2016,NA,NA,52.5,"PC16CESA2"
"238","PC16CESA3","PC16CESa3","Pika Camp",2016-06-30,NA,2016-07-02,2016,4,96,51,8.6,NA,NA,NA,NA,NA,NA,NA,NA,"Kluane",2016,NA,NA,73.5,"PC16CESA3"
"239","PC16CESA4","PC16CESa4","Pika Camp",2016-06-30,NA,2016-07-02,2016,4,99,60,2.5,NA,NA,NA,NA,NA,NA,NA,NA,"Kluane",2016,NA,NA,79.5,"PC16CESA4"
"240","PC16CESA5","PC16CESa5","Pika Camp",2016-06-30,NA,2016-07-02,2016,5,63,54,10,NA,NA,NA,NA,NA,NA,NA,NA,"Kluane",2016,NA,NA,58.5,"PC16CESA5"
"241","PP16TSR1","PP16TSR1","Printers Pass",2016-07-01,2016-07-02,2016-08-08,2016,29,88,32,7,NA,NA,NA,NA,NA,NA,29.7,8.7,"Kluane",2016,NA,NA,60,"PP16TSR1"
"242","PP16TSR2","PP16TSR2","Printers Pass",2016-07-01,2016-07-02,2016-08-08,2016,27,54,49,12,NA,NA,NA,NA,NA,NA,27.5,6.2,"Kluane",2016,NA,NA,51.5,"PP16TSR2"
"243","PP16TSR3","PP16TSR3","Printers Pass",2016-07-01,2016-07-02,2016-08-08,2016,29,49,30,8,NA,NA,NA,NA,NA,NA,26.4,12.6,"Kluane",2016,NA,NA,39.5,"PP16TSR3"
"244","PP16TSR4","PP16TSR4","Printers Pass",2016-07-01,2016-07-02,2016-08-08,2016,14,56,35,21,NA,NA,NA,NA,NA,NA,29.5,9.4,"Kluane",2016,NA,NA,45.5,"PP16TSR4"
"245","PP16TSR5","PP16TSR5","Printers Pass",2016-07-01,2016-07-02,2016-08-08,2016,42,89,32,11,NA,NA,NA,NA,NA,NA,30.9,10,"Kluane",2016,NA,NA,60.5,"PP16TSR5"
"246","PP16TSR6","PP16TSr6","Printers Pass",2016-07-01,NA,2016-07-02,2016,55,86,50,24,NA,NA,NA,NA,NA,NA,33.2,17.2,"Kluane",2016,NA,NA,68,"PP16TSR6"
"247","PP16TSR7","PP16TSr7","Printers Pass",2016-07-01,NA,2016-07-02,2016,31,79,66,18,NA,NA,NA,NA,NA,NA,30.5,13.7,"Kluane",2016,NA,NA,72.5,"PP16TSR7"
"248","PP16TSR8","PP16TSr8","Printers Pass",2016-07-01,NA,2016-07-02,2016,35,94,89,17,NA,NA,NA,NA,NA,NA,32.2,11.6,"Kluane",2016,NA,NA,91.5,"PP16TSR8"
