"","Species","Latitude","Longitude","Elevation","Site","SampleDate","Canopy_Height_cm","SampleID","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","mean_width","Match","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleYear"
"89","Salix pulchra",69.57891,138.94557,56,"Qikiqtaruk",2015-07-26,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"90","Salix pulchra",69.57891,138.94557,56,"Qikiqtaruk",2015-07-26,33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"91","Salix pulchra",69.57536,138.86479,63,"Qikiqtaruk",2015-08-04,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"92","Salix pulchra",69.57536,138.86479,63,"Qikiqtaruk",2015-08-04,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"93","Salix pulchra",69.57536,138.86479,63,"Qikiqtaruk",2015-08-04,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"94","Salix pulchra",69.57536,138.86479,63,"Qikiqtaruk",2015-08-04,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"95","Salix pulchra",69.57536,138.86479,63,"Qikiqtaruk",2015-08-04,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"96","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk",2016-07-26,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"97","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk",2016-07-26,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"98","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk",2016-07-26,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"99","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk",2016-07-26,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"100","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk",2016-07-26,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"101","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk",2016-07-24,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"102","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk",2016-07-24,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"103","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk",2016-07-24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"104","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk",2016-07-24,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"105","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk",2016-07-24,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"106","Salix pulchra",61.21649,-138.28606,1631,"Kluane",2016-06-28,32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"107","Salix pulchra",61.21649,-138.28606,1631,"Kluane",2016-06-28,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"108","Salix pulchra",61.21649,-138.28606,1631,"Kluane",2016-06-28,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"109","Salix pulchra",61.21649,-138.28606,1631,"Kluane",2016-06-28,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"110","Salix pulchra",61.21649,-138.28606,1631,"Kluane",2016-06-28,61.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"111","Salix pulchra",61.219,-138.28477,1577,"Kluane",2016-06-29,70.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"112","Salix pulchra",61.219,-138.28477,1577,"Kluane",2016-06-29,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"113","Salix pulchra",61.219,-138.28477,1577,"Kluane",2016-06-29,102.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"114","Salix pulchra",61.219,-138.28477,1577,"Kluane",2016-06-29,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"115","Salix pulchra",61.219,-138.28477,1577,"Kluane",2016-06-29,40.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"116","Salix pulchra",60.97682,138.41019,1472,"Kluane",2017-08-06,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"117","Salix pulchra",60.97682,138.41019,1472,"Kluane",2017-08-06,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"118","Salix pulchra",60.97682,138.41019,1472,"Kluane",2017-08-06,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"119","Salix pulchra",60.97682,138.41019,1472,"Kluane",2017-08-06,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"120","Salix pulchra",60.97682,138.41019,1472,"Kluane",2017-08-06,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"121","Salix pulchra",60.96206,-138.41288,1716,"Kluane",2017-08-07,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"122","Salix pulchra",60.96206,-138.41288,1716,"Kluane",2017-08-07,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
