"","max_biovol","SampleID_standard","Year","Site","population","Species"
"221",5104,"PC17SP5",2022,"Common_garden","Southern","Salix pulchra"
"222",1539.486,"PC17SP6",2023,"Common_garden","Southern","Salix pulchra"
"223",8393.307,"PC17SP7",2023,"Common_garden","Southern","Salix pulchra"
"224",71858.798,"PC17SP8",2023,"Common_garden","Southern","Salix pulchra"
"225",9671.2,"PC17SP9",2023,"Common_garden","Southern","Salix pulchra"
"226",48800,"PC17SR1",2022,"Common_garden","Southern","Salix richardsonii"
"227",23868,"PC17SR10",2022,"Common_garden","Southern","Salix richardsonii"
"228",603.57,"PC17SR12",2023,"Common_garden","Southern","Salix richardsonii"
"229",6093.528,"PC17SR13",2023,"Common_garden","Southern","Salix richardsonii"
"230",19303.13,"PC17SR2",2023,"Common_garden","Southern","Salix richardsonii"
"231",209790,"PC17SR4",2022,"Common_garden","Southern","Salix richardsonii"
"232",559196,"PC17SR5",2023,"Common_garden","Southern","Salix richardsonii"
"233",131248.656,"PC17SR6",2023,"Common_garden","Southern","Salix richardsonii"
"234",2394,"PC17SR9",2021,"Common_garden","Southern","Salix richardsonii"
"235",107.59,"PP16MSA1",2023,"Common_garden","Southern","Salix arctica"
"236",513.76,"PP16MSA5",2023,"Common_garden","Southern","Salix arctica"
"237",2009.54,"PP17SP12",2021,"Common_garden","Southern","Salix pulchra"
"238",2614.704,"PP17SP13",2021,"Common_garden","Southern","Salix pulchra"
"239",96464.106,"PP17SP15",2023,"Common_garden","Southern","Salix pulchra"
"240",114784.32,"PP17SR16",2023,"Common_garden","Southern","Salix richardsonii"
"241",75021.165,"PP17SR19",2023,"Common_garden","Southern","Salix richardsonii"
"242",193804.56,"PP17SR20",2023,"Common_garden","Southern","Salix richardsonii"
