"Plot Title: Phenology"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Air Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Canopy Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Ground Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Soil Temp)","Good Battery (LGR S/N: 10737643)","Host Connected (LGR S/N: 10737643)","End Of File (LGR S/N: 10737643)"
234,08/05/17 08:00:00  PM,20.055,20.150,3.696,8.990,,,
235,08/05/17 09:00:00  PM,18.628,17.986,3.775,8.841,,,
236,08/05/17 10:00:00  PM,15.891,15.055,3.854,8.643,,,
237,08/05/17 11:00:00  PM,15.199,14.146,3.906,8.419,,,
238,08/06/17 12:00:00  AM,13.978,12.461,3.958,8.170,,,
239,08/06/17 01:00:00  AM,14.050,12.654,3.985,7.920,,,
240,08/06/17 02:00:00  AM,13.738,12.364,4.011,7.745,,,
241,08/06/17 03:00:00  AM,11.662,11.029,4.011,7.544,,,
242,08/06/17 04:00:00  AM,12.122,11.516,4.011,7.368,,,
243,08/06/17 05:00:00  AM,10.345,9.706,4.011,7.217,,,
244,08/06/17 06:00:00  AM,10.001,9.756,4.011,7.041,,,
245,08/06/17 07:00:00  AM,10.785,10.663,3.985,6.965,,,
246,08/06/17 08:00:00  AM,10.663,10.712,3.985,6.940,,,
247,08/06/17 09:00:00  AM,10.663,10.810,3.958,6.940,,,
248,08/06/17 10:00:00  AM,10.785,10.980,3.932,6.914,,,
249,08/06/17 11:00:00  AM,11.175,11.370,3.932,6.914,,,
250,08/06/17 12:00:00  PM,11.516,11.734,3.906,6.914,,,
251,08/06/17 01:00:00  PM,11.516,11.807,3.880,6.965,,,
252,08/06/17 02:00:00  PM,11.637,12.195,3.880,7.015,,,
253,08/06/17 03:00:00  PM,11.856,12.751,3.854,7.091,,,
254,08/06/17 04:00:00  PM,11.297,11.880,3.854,7.142,,,
255,08/06/17 05:00:00  PM,11.175,11.589,3.854,7.091,,,
256,08/06/17 06:00:00  PM,10.932,11.394,3.880,7.066,,,
257,08/06/17 07:00:00  PM,10.590,11.151,3.854,7.015,,,
258,08/06/17 08:00:00  PM,10.418,10.761,3.880,6.965,,,
259,08/06/17 09:00:00  PM,10.222,10.296,3.854,6.914,,,
260,08/06/17 10:00:00  PM,10.124,10.124,3.906,7.015,,,
261,08/06/17 11:00:00  PM,10.198,10.149,3.880,7.015,,,
262,08/07/17 12:00:00  AM,10.467,10.149,3.880,6.990,,,
263,08/07/17 01:00:00  AM,10.810,10.369,3.854,6.940,,,
264,08/07/17 02:00:00  AM,10.980,10.541,3.827,6.965,,,
265,08/07/17 03:00:00  AM,10.858,10.834,3.827,6.889,,,
266,08/07/17 04:00:00  AM,10.638,10.565,3.801,6.839,,,
267,08/07/17 05:00:00  AM,10.810,10.712,3.749,6.788,,,
268,08/07/17 06:00:00  AM,11.175,10.932,3.749,6.763,,,
269,08/07/17 07:00:00  AM,11.297,11.102,3.722,6.763,,,
270,08/07/17 08:00:00  AM,12.074,11.662,3.722,6.763,,,
271,08/07/17 09:00:00  AM,12.268,12.171,3.696,6.839,,,
272,08/07/17 10:00:00  AM,12.074,12.292,3.696,6.940,,,
273,08/07/17 11:00:00  AM,12.799,13.137,3.670,7.041,,,
274,08/07/17 12:00:00  PM,14.170,14.768,3.696,7.293,,,
