Sample_ID,Match,Species,Sample_location,Sample_location_full,Year_planted
H15Sr23,H15Sr23,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr24,H15Sr24,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr25,H15Sr25,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr26,H15Sr26,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr27,H15Sr27,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr28,H15Sr28,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr29,H15SR29,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr3,H15Sr3,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr30,H15Sr30,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr4,H15Sr4,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr5,H15Sr5,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr6,H15Sr6,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr7,H15Sr7,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr8,H15Sr8,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr9,H15Sr9,Salix richardsonii,Qikiqtaruk,QHI,2015
K15CBG1,NA,Betula nana,Kluane,Pika Camp,2015
K15CBG10,NA,Betula nana,Kluane,Pika Camp,2015
K15CBG2,NA,Betula nana,Kluane,Pika Camp,2015
K15CBG3,NA,Betula nana,Kluane,Pika Camp,2015
K15CBG4,NA,Betula nana,Kluane,Pika Camp,2015
K15CBG5,NA,Betula nana,Kluane,Pika Camp,2015
K15CBG6,NA,Betula nana,Kluane,Pika Camp,2015
K15CBG7,NA,Betula nana,Kluane,Pika Camp,2015
K15CBG8,NA,Betula nana,Kluane,Pika Camp,2015
K15CBG9,NA,Betula nana,Kluane,Pika Camp,2015
K15CSp1,K15CSp1,Salix pulchra,Kluane,Pika Camp,2015
K15CSp2,K15CSp2,Salix pulchra,Kluane,Pika Camp,2015
K15CSp3,K15CSp3,Salix pulchra,Kluane,Pika Camp,2015
K15CSp4,K15CSp4,Salix pulchra,Kluane,Pika Camp,2015
K15CSp5,K15CSp5,Salix pulchra,Kluane,Pika Camp,2015
K15CSp6,K15CSp6,Salix pulchra,Kluane,Pika Camp,2015
K15CSp7,K15CSp7,Salix pulchra,Kluane,Pika Camp,2015
K15CSp8,K15CSp8,Salix pulchra,Kluane,Pika Camp,2015
K15CSp9,K15CSp9,Salix pulchra,Kluane,Pika Camp,2015
K15CSr1,K15CSr1,Salix richardsonii,Kluane,Pika Camp,2015
K15CSr2,K15CSr2,Salix richardsonii,Kluane,Pika Camp,2015
K15CSr3,K15CSr3,Salix richardsonii,Kluane,Pika Camp,2015
K15CSr4,K15CSr4,Salix richardsonii,Kluane,Pika Camp,2015
K15CSr5,K15CSr5,Salix richardsonii,Kluane,Pika Camp,2015
K15CSr6,K15CSr6,Salix richardsonii,Kluane,Pika Camp,2015
K15CSr7,K15CSr7,Salix richardsonii,Kluane,Pika Camp,2015
K15CSr8,K15CSr8,Salix richardsonii,Kluane,Pika Camp,2015
K15CSr9,K15CSr9,Salix richardsonii,Kluane,Pika Camp,2015
K15EBG1,NA,Betula nana,Kluane,Pika Camp,2015
K15ESp1,K15ESp1,Salix pulchra,Kluane,Pika Camp,2015
K15ESp10,K15ESp10,Salix pulchra,Kluane,Pika Camp,2015
K15ESp2,K15ESp2,Salix pulchra,Kluane,Pika Camp,2015
K15ESp3,K15ESp3,Salix pulchra,Kluane,Pika Camp,2015
K15ESp4,K15ESp4,Salix pulchra,Kluane,Pika Camp,2015
K15ESp5,K15ESp5,Salix pulchra,Kluane,Pika Camp,2015
K15ESp6,K15ESp6,Salix pulchra,Kluane,Pika Camp,2015
K15ESp7,K15ESp7,Salix pulchra,Kluane,Pika Camp,2015
K15ESp8,K15ESp8,Salix pulchra,Kluane,Pika Camp,2015
K15ESp9,K15ESp9,Salix pulchra,Kluane,Pika Camp,2015
K15ESr1,K15ESr1,Salix richardsonii,Kluane,Pika Camp,2015
K15PBG1,NA,Betula nana,Kluane,Kluane Plateau,2015
