"","Match","Species","Sample_location","Sample_location_full","Date_sampled","Date_propagated","Date_planted","Year_planted","Mother_height","Mother_CW_1","Mother_CW_2","Mother_LS","Mother_LL1","Mother_LL2","Mother_LL3","Mother_SE1","Mother_SE2","Mother_SE3","Mother_Sex","Cutting_length","Cutting_diameter","Cutting_age","Year_dead","Survived_2014","Survived_2015","Survived_2016","Survived_2017","Survived_2018","Survived_2019","Survived_2020","Survived_2021","Bed","Row","Column","Notes","Field_notes","Data_notes","SampleID","SampleID_standard","population","Survived_2023","Survived_2022"
"10062",NA,"Salix arctica","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,5.1,NA,NA,NA,44,44,50,15,4,"7","Female",18.4,"7.4",9,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sa5","KP18SA5","Southern","0","0"
"10063",NA,"Salix arctica","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,5.1,NA,NA,NA,44,44,50,15,4,"7","Female",18.4,"7.4",9,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sa5","KP18SA5","Southern","0","0"
"10064",NA,"Salix arctica","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,5.1,NA,NA,NA,44,44,50,15,4,"7","Female",18.4,"7.4",9,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sa5","KP18SA5","Southern","0","0"
"10065",NA,"Salix arctica","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,8.4,NA,NA,NA,50,50,61,15,12,"12","Male",31.9,"8.64",14,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sa6","KP18SA6",NA,NA,NA
"10066",NA,"Salix arctica","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,8.4,NA,NA,NA,50,50,61,15,12,"12","Male",31.9,"8.64",14,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sa6","KP18SA6",NA,NA,NA
"10067",NA,"Salix arctica","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,8.4,NA,NA,NA,50,50,61,15,12,"12","Male",31.9,"8.64",14,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sa6","KP18SA6",NA,NA,NA
"10068",NA,"Salix arctica","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,8.4,NA,NA,NA,50,50,61,15,12,"12","Male",31.9,"8.64",14,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sa6","KP18SA6",NA,NA,NA
"10069",NA,"Salix arctica","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,6.6,NA,NA,NA,49,42,49,47,13,"17","Female",19.9,"9.74",10,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sa7","KP18SA7",NA,NA,NA
"10070",NA,"Salix arctica","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,6.6,NA,NA,NA,49,42,49,47,13,"17","Female",19.9,"9.74",10,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sa7","KP18SA7",NA,NA,NA
"10071",NA,"Salix arctica","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,6.6,NA,NA,NA,49,42,49,47,13,"17","Female",19.9,"9.74",10,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sa7","KP18SA7",NA,NA,NA
"10072",NA,"Salix arctica","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,6.6,NA,NA,NA,49,42,49,47,13,"17","Female",19.9,"9.74",10,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sa7","KP18SA7",NA,NA,NA
"10073",NA,"Salix pulchra","Kluane","Kluane Plateau","21/08/2018",NA,"23/08/2018",2018,78,NA,NA,NA,48,38,46,81,58,"22","Female",66.9,"11.55",11,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sp5","KP18SP5","Southern","0","0"
"10074",NA,"Salix pulchra","Kluane","Kluane Plateau","21/08/2018",NA,"23/08/2018",2018,78,NA,NA,NA,48,38,46,81,58,"22","Female",66.9,"11.55",11,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sp5","KP18SP5","Southern","0","0"
"10075",NA,"Salix pulchra","Kluane","Kluane Plateau","21/08/2018",NA,"23/08/2018",2018,78,NA,NA,NA,48,38,46,81,58,"22","Female",66.9,"11.55",11,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sp5","KP18SP5","Southern","0","0"
"10076",NA,"Salix pulchra","Kluane","Kluane Plateau","21/08/2018",NA,"23/08/2018",2018,78,NA,NA,NA,48,38,46,81,58,"22","Female",66.9,"11.55",11,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sp5","KP18SP5","Southern","0","0"
