"","max_canopy_height_cm","SampleID_standard","Year","Site","population","Species"
"312",41,"PC17SR6",2022,"Common_garden","Southern","Salix richardsonii"
"313",25.9,"PC17SR9",2023,"Common_garden","Southern","Salix richardsonii"
"314",3.5,"PP16MSA1",2022,"Common_garden","Southern","Salix arctica"
"315",4.2,"PP16MSA5",2017,"Common_garden","Southern","Salix arctica"
"316",23,"PP16TSP7",2017,"Common_garden","Southern","Salix pulchra"
"317",11,"PP17SP11",2019,"Common_garden","Southern","Salix pulchra"
"318",19,"PP17SP12",2018,"Common_garden","Southern","Salix pulchra"
"319",16.5,"PP17SP13",2020,"Common_garden","Southern","Salix pulchra"
"320",29,"PP17SP15",2022,"Common_garden","Southern","Salix pulchra"
"321",44,"PP17SR16",2022,"Common_garden","Southern","Salix richardsonii"
"322",1.2,"PP17SR18",2018,"Common_garden","Southern","Salix richardsonii"
"323",42.3,"PP17SR19",2023,"Common_garden","Southern","Salix richardsonii"
"324",45.7,"PP17SR20",2023,"Common_garden","Southern","Salix richardsonii"
