"","max_stem_elong","SampleID_standard","Year","Site","population","Species"
"263",176.666666666667,"PC17SP8",2022,"Common_garden","Southern","Salix pulchra"
"264",33.6633333333333,"PC17SP9",2019,"Common_garden","Southern","Salix pulchra"
"265",206.666666666667,"PC17SR1",2022,"Common_garden","Southern","Salix richardsonii"
"266",67.3233333333333,"PC17SR10",2019,"Common_garden","Southern","Salix richardsonii"
"267",11.39,"PC17SR12",2020,"Common_garden","Southern","Salix richardsonii"
"268",45.5266666666667,"PC17SR13",2018,"Common_garden","Southern","Salix richardsonii"
"269",36.03,"PC17SR15",2019,"Common_garden","Southern","Salix richardsonii"
"270",54.6666666666667,"PC17SR2",2020,"Common_garden","Southern","Salix richardsonii"
"271",321.233333333333,"PC17SR4",2019,"Common_garden","Southern","Salix richardsonii"
"272",390,"PC17SR5",2022,"Common_garden","Southern","Salix richardsonii"
"273",248.333333333333,"PC17SR6",2022,"Common_garden","Southern","Salix richardsonii"
"274",43,"PC17SR9",2020,"Common_garden","Southern","Salix richardsonii"
"275",2.33333333333333,"PP16MSA1",2023,"Common_garden","Southern","Salix arctica"
"276",10.8266666666667,"PP16MSA5",2019,"Common_garden","Southern","Salix arctica"
"277",33.2033333333333,"PP16TSP7",2018,"Common_garden","Southern","Salix pulchra"
"278",2.43666666666667,"PP17SP11",2018,"Common_garden","Southern","Salix pulchra"
"279",35.51,"PP17SP12",2020,"Common_garden","Southern","Salix pulchra"
"280",32.88,"PP17SP13",2019,"Common_garden","Southern","Salix pulchra"
"281",313.333333333333,"PP17SP15",2022,"Common_garden","Southern","Salix pulchra"
"282",126.666666666667,"PP17SR16",2022,"Common_garden","Southern","Salix richardsonii"
"283",106.666666666667,"PP17SR19",2022,"Common_garden","Southern","Salix richardsonii"
"284",125,"PP17SR20",2022,"Common_garden","Southern","Salix richardsonii"
