Sample_ID,Sample_Date,Year,Height,LL1,LL2,LL3,SE1,SE2,SE3,Fresh_mass,Dry_mass,LA,LDMC,SLA,Notes
HE-SR 2,11/08/2016,2016,4.4,30,22,32,27,30,21,,,,,,
H15Sp20,09/07/2016,2016,4.4,30,32,28,29,,,,,,,,
H15Sp20,11/07/2017,2017,4.4,14,12,11,32,20,10,,,,,,Lots of herbivory
HE16SP25,19/07/2017,2017,4.4,-,-,-,13,-,-,,,,,,"Dead, no more leaves "
H15Sa10,20/07/2017,2017,4.4,27,23,27,56,44,43,,,,,,Herbivory and some dying leaves 
K15PSa2,26/07/2017,2017,4.4,42,41,41,47,52,47,,,,,,Light herbivory 
KP16SR58,26/07/2017,2017,4.4,24,18,16,55,22,-,,,,,,Heavy herbivory 
K15PSa8,02/08/2017,2017,4.4,49,49,54,19,7,,,,,,,<5% herbivory 
H15Sr13,09/07/2016,2016,4.5,10,11,10,,,,,,,,,
HE-SR 2,26/06/2016,2016,4.5,25.8,28.2,27.2,32.4,21.4,,,,,,,Browning
H15Sp29,26/06/2016,2016,4.5,28,23,26,11,0,0,,,,,,
PC16CESp7,02/08/2017,2017,4.5,45,34,30,22,53,9,,,,,,
HE-SP 18,14/08/2017,2017,4.5,20,16,14,27,26,15,,,,,,Dead
H15Sr19,09/07/2016,2016,4.6,27,31,10,5,,,,,,,,
K15PSa2,12/07/2017,2017,4.6,37,30,39,52,46,45,,,,,,
HE-SP 23,20/07/2017,2017,4.6,16,11,9,40,32,22,,,,,,
PC16CESp7,14/08/2017,2017,4.6,35,29,14,52,21,9,,,,,,Browning 
K15PSa15,14/08/2017,2017,4.6,32,31,19,11,9,-,,,,,,Browning 
H15SP25,02/08/2017,2017,4.7,24,20,23,24,22,,,,,,,20.0%
K15PSa7,02/08/2017,2017,4.7,60,61,53,28,16,14,,,,,,5% herbivory 
PP16MSa5,06/06/2017,2017,4.8,26,20,19,6,5,1,,,,,,
HE16SP25,11/07/2017,2017,4.8,18,10,12,8,6,-,,,,,,Herbivory 
H15Sp20,19/07/2017,2017,4.8,12,5,8,17,29,-,,,,,,Herbivory and some dying leaves 
H15Sa7,20/07/2017,2017,4.8,23,17,15,28,23,16,,,,,,Some dead leaves 
H15Sp20,24/07/2017,2017,4.8,13,9,15,57,22,10,,,,,,Herbivory and dying leaves 
H15Sa7,14/08/2017,2017,4.8,22,20,11,5,4,5,,,,,,Browning 
HE16SA8,06/06/2017,2017,4.9,20,19,16,11,1,NA,,,,,,
H15SP25,14/08/2017,2017,4.9,20,17,18,18,22,5,,,,,,Herbivory and browning 
H15Sp10,11/08/2016,2016,5,38,30,25,29,,,,,,,,
HE-SR 3,09/07/2016,2016,5,26,27,29,22,17,16,,,,,,
HE-SR 23,06/06/2017,2017,5,26,26,28,27,7,15,,,,,,
K15PSa2,14/08/2017,2017,5,35,33,40,15,9,15,,,,,,Light herbivory and browning 
HE16SA8,02/08/2017,2017,5.1,29,19,8,16,,,,,,,,60% herbivory 
K15PSa2,02/08/2017,2017,5.1,55,48,53,24,6,10,,,,,,5% herbivory 
H15Sa10,02/08/2017,2017,5.1,35,40,36,27,22,24,,,,,,<5% herbivory 
HEF-SR 4,11/08/2016,2016,5.2,31,31,33,40,54,62,,,,,,
H15SP29,12/07/2017,2017,5.2,40,34,24,44,39,33,,,,,,
H15SP29,20/07/2017,2017,5.2,38,33,35,38,35,35,,,,,,Leaves drying
H15Sp15,24/07/2017,2017,5.2,29,15,19,53,63,43,,,,,,Herbivory
H15Sp19,11/08/2016,2016,5.3,35,27,30,42,,,,,,,,
H15Sr20,11/08/2016,2016,5.4,21,25,19,7,,,,,,,,
H15Sr19,11/08/2016,2016,5.4,29,31,10,15,,,,,,,,
H15Sr19,26/06/2016,2016,5.4,26,26.4,14,8.8,,,,,,,,
H15Sp19,26/06/2016,2016,5.4,30,28,27,40,18,0,,,,,,Leave tips brown
H15Sp20,26/06/2016,2016,5.4,27,31,30,30,0,0,,,,,,
K15PSa15,02/08/2017,2017,5.4,45,36,37,12,,,,,,,,5% herbivory 
H15Sp1,11/08/2016,2016,5.5,26,21,22,13,6,,,,,,,
H15Sp5,09/07/2016,2016,5.5,24,24,22,8,6,,,,,,,
PC16CESp7,12/07/2017,2017,5.5,33,38,21,71,32,56,,,,,,
KP16SR60,12/07/2017,2017,5.5,31,21,18,35,9,-,,,,,,Herbivory 
H15Sp15,19/07/2017,2017,5.5,28,20,13,37,35,39,,,,,,Herbivory 
HER-SP 14,26/07/2017,2017,5.5,27,27,27,50,37,23,,,,,,Herbivory 
HE-SR 3,11/08/2016,2016,5.6,27,26,30,28,31,19,,,,,,
H15Sp19,09/07/2016,2016,5.6,31,31,32,47,,,,,,,,
H15Sp5,26/06/2016,2016,5.6,22.5,26.8,23.9,14.8,15,,,,,,,
KP16SP59,06/06/2017,2017,5.6,24,16,11,18,NA,NA,,,,,,
HE-SP 23,12/07/2017,2017,5.6,17,10,8,32,22,27,,,,,,Dying leaves 
