"","Species","population","SLA","LA","LDMC_percent","group_color","group_shape"
"228","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"229","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"230","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"231","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"232","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"233","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"234","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"235","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"236","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"237","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"238","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"239","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"240","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"241","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"242","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"243","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"244","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"245","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"246","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"247","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"248","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"249","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"250","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"251","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"252","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"253","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"254","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"255","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"256","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"257","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"258","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"259","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"260","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"261","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"262","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"263","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"264","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"265","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"266","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"267","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"268","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"269","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"270","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"271","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"272","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"273","Salix pulchra","N. Source",16.0859154929577,2284.2,29.5218295218295,"north","source"
"274","Salix pulchra","N. Source",16.092385786802,3170.2,30.78125,"north","source"
"275","Salix pulchra","N. Source",16.4892966360856,5392,29.3010752688172,"north","source"
"276","Salix pulchra","N. Source",17.2522633744856,4192.3,30.9160305343511,"north","source"
"277","Salix pulchra","N. Source",16.9613636363636,4477.8,30.2059496567506,"north","source"
"278","Salix pulchra","N. Source",17.4980079681275,4392,30.9113300492611,"north","source"
"279","Salix pulchra","S. Source",13.6517647058824,4641.6,33.7972166998012,"south","source"
"280","Salix pulchra","S. Source",12.8511784511785,7633.6,33.2400671516508,"south","source"
"281","Salix pulchra","S. Source",11.1933823529412,4566.9,37.7079482439926,"south","source"
"282","Salix pulchra","S. Source",10.9229601518027,5756.4,39.5645645645646,"south","source"
"283","Salix pulchra","S. Source",10.8146282973621,4509.7,37.6014427412083,"south","source"
"284","Salix pulchra","S. Source",10.8374125874126,6199,35.0275566442131,"south","source"
"285","Salix pulchra","S. Source",10.476833976834,5427,39.6934865900383,"south","source"
"286","Salix pulchra","S. Source",9.75483304042179,5550.5,39.8459383753501,"south","source"
"287","Salix pulchra","S. Source",9.65042194092827,4574.3,41.1815812337098,"south","source"
"288","Salix pulchra","S. Source",10.1554438860972,6062.8,38.2202304737516,"south","source"
"289","Salix pulchra","S. Garden",12.8886597938144,1250.2,38.1889763779528,"south","garden"
"290","Salix pulchra","N. Garden",12.8381679389313,1681.8,34.6560846560847,"north","garden"
"291","Salix pulchra","S. Garden",12.7693498452012,4124.5,34.6195069667738,"south","garden"
"292","Salix pulchra","S. Garden",13.4171875,1717.4,35.5555555555556,"south","garden"
"293","Salix pulchra","N. Garden",15.1874015748032,1928.8,36.1823361823362,"north","garden"
"294","Salix pulchra","N. Garden",14.9859813084112,1603.5,35.7859531772575,"north","garden"
"295","Salix pulchra","S. Garden",11.817667844523,3344.4,36.9934640522876,"south","garden"
"296","Salix pulchra","N. Garden",14.3147058823529,973.4,40.4761904761905,"north","garden"
"297","Salix pulchra","N. Garden",15.8852713178295,2049.2,29.3181818181818,"north","garden"
"298","Salix pulchra","N. Garden",16.2853146853147,2328.8,32.0627802690583,"north","garden"
"299","Salix pulchra","S. Garden",11.3603658536585,3726.2,37.4857142857143,"south","garden"
"300","Salix pulchra","N. Garden",14.9399176954733,3630.4,34.5661450924609,"north","garden"
"301","Salix pulchra","S. Garden",12.3095744680851,5785.5,36.0429447852761,"south","garden"
"302","Salix pulchra","N. Garden",15.3047619047619,1607,31.8181818181818,"north","garden"
"303","Salix pulchra","S. Garden",24.7780952380952,2601.7,16.9354838709677,"south","garden"
"304","Salix pulchra","S. Garden",10.5528189910979,3556.3,36.6304347826087,"south","garden"
"305","Salix pulchra","S. Garden",13.0917218543046,3953.7,27.4545454545454,"south","garden"
"306","Salix pulchra","N. Garden",15.2073619631902,2478.8,27.6271186440678,"north","garden"
"307","Salix pulchra","S. Garden",11.5613793103448,1676.4,37.5647668393782,"south","garden"
"308","Salix pulchra","N. Garden",12.4093023255814,1600.8,32.25,"north","garden"
"309","Salix pulchra","N. Garden",19.7860759493671,1563.1,26.3333333333333,"north","garden"
"310","Salix pulchra","N. Garden",16.2631067961165,1675.1,25.75,"north","garden"
"311","Salix pulchra","S. Garden",11.3392405063291,2687.4,36.1832061068702,"south","garden"
"312","Salix pulchra","S. Garden",12.8899038461538,2681.1,32.2480620155039,"south","garden"
"313","Salix pulchra","S. Garden",10.1638795986622,6078,36.5973072215422,"south","garden"
"314","Salix pulchra","N. Garden",15.91638796,291,25.20833335,"north","garden"
"315","Salix pulchra","N. Garden",13.5807303,532.925,38.012286325,"north","garden"
"316","Salix pulchra","N. Garden",8.593846154,137.2,52.5,"north","garden"
"317","Salix pulchra","N. Garden",16.776201925,240.9,41.66666665,"north","garden"
"318","Salix pulchra","N. Garden",23.44695652,343.5,35.8333333,"north","garden"
"319","Salix pulchra","N. Garden",12.896786495,395,36.2857143,"north","garden"
"320","Salix pulchra","N. Garden",15.896434785,579.35,38.3974359,"north","garden"
"321","Salix pulchra","N. Garden",25.22361111,148.733333333333,46.6666666666667,"north","garden"
