"","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","SampleID_standard"
"129","LB","HESr3",2013,"Salix richardsonii","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,8,6,9,NA,NA,NA,"HESR3"
"130","LB","HESr4",2013,"Salix richardsonii","Qikiqtaruk",2015-05-18,"5","18",2015,NA,NA,NA,NA,18.18,14.41,10.27,NA,NA,NA,"HESR4"
"131","LB","HESr4",2013,"Salix richardsonii","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,30,39,50,NA,NA,NA,"HESR4"
"132","LB","HESr4",2013,"Salix richardsonii","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,51,36,34,55,NA,NA,"HESR4"
"133","LB","HESr4",2013,"Salix richardsonii","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,9,14,9,NA,NA,NA,"HESR4"
"134","LB","HESr4B",2013,"Salix richardsonii","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,22,18,18,10,NA,NA,"HESR4B"
"135","SW","HESr6",2013,"Salix richardsonii","Qikiqtaruk",2015-05-18,"5","18",2015,NA,NA,NA,NA,14.4,11.68,10.77,NA,NA,NA,"HESR6"
"136","SW","HESr6",2013,"Salix richardsonii","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,20,26,20,NA,NA,NA,"HESR6"
"137","SW","HESr6",2013,"Salix richardsonii","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,20,19,22,10,12,50,"HESR6"
"138","SW","HESr6",2013,"Salix richardsonii","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,14,13,13,NA,NA,NA,"HESR6"
"139","SW","HESr7",2013,"Salix richardsonii","Qikiqtaruk",2015-05-18,"5","18",2015,NA,NA,NA,NA,13.27,11.35,11.25,NA,NA,NA,"HESR7"
"140","SW","HESr7",2013,"Salix richardsonii","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,20,23,25,NA,NA,NA,"HESR7"
"141","SW","HESr7",2013,"Salix richardsonii","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,30,27,20,6,18,17,"HESR7"
"142","SW","HESr7",2013,"Salix richardsonii","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,9,9,11,NA,NA,NA,"HESR7"
"143","SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk",2015-05-18,"5","18",2015,NA,NA,NA,NA,11.16,12.04,9.43,NA,NA,NA,"HESR8"
"144","SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,19,25,25,23,20,20,"HESR8"
"145","SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,27,28,29,23,27,23,"HESR8"
"146","SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,12,12,23,NA,NA,NA,"HESR8"
"147","IMS","KLSPC1",2013,"Salix pulchra","Kluane",2015-05-18,"5","18",2015,NA,NA,NA,NA,14.79,21.38,14.33,NA,NA,NA,"KLSPC1"
"148","IMS","KLSPC1",2013,"Salix pulchra","Kluane",2015-06-02,"6","2",2015,NA,NA,NA,NA,30,30,28,NA,NA,NA,"KLSPC1"
"149","IMS","KLSPC1",2013,"Salix pulchra","Kluane",2015-06-18,"6","18",2015,NA,NA,NA,NA,43,40,37,45,18,21,"KLSPC1"
"150","IMS","KLSPC1",2013,"Salix pulchra","Kluane",2015-08-15,"8","15",2015,NA,NA,NA,NA,12,17,10,NA,NA,NA,"KLSPC1"
"151","MG","KLSPC10",2013,"Salix pulchra","Kluane",2015-05-18,"5","18",2015,NA,NA,NA,NA,8.84,9.32,7.91,NA,NA,NA,"KLSPC10"
"152","MG","KLSPC10",2013,"Salix pulchra","Kluane",2015-06-02,"6","2",2015,NA,NA,NA,NA,32,15,26,NA,NA,NA,"KLSPC10"
"153","MG","KLSPC10",2013,"Salix pulchra","Kluane",2015-06-18,"6","18",2015,NA,NA,NA,NA,57,55,55,50,15,1,"KLSPC10"
"154","MG","KLSPC10",2013,"Salix pulchra","Kluane",2015-08-15,"8","15",2015,NA,NA,NA,NA,21,19,19,NA,NA,NA,"KLSPC10"
"155","AB","KLSPC12",2013,"Salix pulchra","Kluane",2015-08-15,"8","15",2015,NA,NA,NA,NA,12,11,10,NA,NA,NA,"KLSPC12"
"156","AB","KLSPC13",2013,"Salix pulchra","Kluane",2015-05-18,"5","18",2015,NA,NA,NA,NA,30.98,27.09,23.4,NA,NA,NA,"KLSPC13"
"157","AB","KLSPC13",2013,"Salix pulchra","Kluane",2015-06-02,"6","2",2015,NA,NA,NA,NA,40,45,30,54,50,41,"KLSPC13"
"158","AB","KLSPC13",2013,"Salix pulchra","Kluane",2015-06-18,"6","18",2015,NA,NA,NA,NA,46,47,50,57,42,51,"KLSPC13"
"159","AB","KLSPC13",2013,"Salix pulchra","Kluane",2015-08-15,"8","15",2015,NA,NA,NA,NA,25,18,14,NA,NA,NA,"KLSPC13"
"160","IMS","KLSPC2",2013,"Salix pulchra","Kluane",2015-06-02,"6","2",2015,NA,NA,NA,NA,17,10,24,NA,NA,NA,"KLSPC2"
