"","X.2","X.1","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","max_stem_diam","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population"
"58",2714,2047,2047,"IR","H17Sr18",2017,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,7.4,9.6,7.5,17,22,NA,NA,13,21,10,"H17SR18",532.8,4,14.6666666666667,NA,8.55,"Northern"
"59",2715,2048,2048,"IR","H17Sr19",2017,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,6.8,10.4,5,12,17,18,19,18,10,14,"H17SR19",353.6,4,14,18,7.7,"Northern"
"60",3115,3115,3115,"AC","H17Sr24",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,9.5,14,11,12,36,32,31,60,16,21,"H17SR24",1463,5,32.3333333333333,33,12.5,"Northern"
"61",2717,2050,2050,"AC","H17Sr25",2017,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,2,3.6,1.5,9,19,20,NA,3,NA,NA,"H17SR25",10.8,4,NA,NA,2.55,"Northern"
"62",2126,2384,2384,"LB","H17Sr3",2017,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,0.8,2.4,1.8,11,16,14,NA,6,4,NA,"H17SR3",3.456,3,NA,NA,2.1,"Northern"
"63",3162,3162,3162,"EW","H17Sr30",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,14,27,22,18,38,32,28,24,25,13,"H17SR30",8316,5,20.6666666666667,32.6666666666667,24.5,"Northern"
"64",3167,3167,3167,"EW","H17Sr35",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,19,23,24,16,27,26,28,36,35,25,"H17SR35",10488,5,32,27,23.5,"Northern"
"65",2133,2391,2391,"EW","H17Sr36",2017,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,14.6,20.8,9.4,11,32,28,38,68,56,64,"H17SR36",2854.592,3,62.6666666666667,32.6666666666667,15.1,"Northern"
"66",2721,2054,2054,"EW","H17Sr37",2017,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,5.9,8.4,6.8,8,23,18,20,6,10,9,"H17SR37",337.008,4,8.33333333333333,20.3333333333333,7.6,"Northern"
"67",2137,2395,2395,"LB","H17Sr4",2017,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,12,9.4,5.8,14,NA,NA,NA,44,23,18,"H17SR4",654.24,3,28.3333333333333,NA,7.6,"Northern"
"68",2959,2959,2959,"LB","H17Sr5",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,7,14,7,13,41,42,42,13,19,22,"H17SR5",686,5,18,41.6666666666667,10.5,"Northern"
"69",2724,2057,2057,"GD","H17Sr7",2017,"Salix richardsonii","Qikiqtaruk","2021-08-09",8,9,2021,7.2,14,12.5,8,28,27,27,21,30,15,"H17SR7",1260,4,22,27.3333333333333,13.25,"Northern"
"70",2725,2058,2058,"GD","H17Sr9",2017,"Salix richardsonii","Qikiqtaruk","2021-08-09",8,9,2021,14.5,14,12,13,25,29,30,23,13,17,"H17SR9",2436,4,17.6666666666667,28,13,"Northern"
"71",3106,3106,3106,"SAB","H18Sa1",2018,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4,9.5,7.5,9,25,35,27,12,11,7,"H18SA1",285,4,10,29,8.5,"Northern"
"72",2730,2063,2063,"SAB","H18Sa8",2018,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4,11.5,11,10,31,33,33,16,17,15,"H18SA8",506,3,16,32.3333333333333,11.25,"Northern"
"73",2731,2064,2064,"IMS","H18Sp1",2018,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,3.2,3.4,1.5,5,14,15,16,5,4,2,"H18SP1",16.32,3,3.66666666666667,15,2.45,"Northern"
"74",2732,2065,2065,"SL","H18Sp11",2018,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,6.5,10,3.8,12,16,14,16,24,12,10,"H18SP11",247,3,15.3333333333333,15.3333333333333,6.9,"Northern"
"75",2733,2066,2066,"SL","H18Sp15",2018,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,9.2,9.5,5.5,7,25,20,22,7,16,10,"H18SP15",480.7,3,11,22.3333333333333,7.5,"Northern"
"76",2174,2432,2432,"JG","H18Sp16",2018,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,8.8,5.5,3.4,5,NA,NA,NA,12,22,15,"H18SP16",164.56,2,16.3333333333333,NA,4.45,"Northern"
"77",2735,2068,2068,"JG","H18Sp18",2018,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,3.7,5.6,3.5,5,21,23,25,7,6,7,"H18SP18",72.52,3,6.66666666666667,23,4.55,"Northern"
"78",2177,2435,2435,"JG","H18Sp19",2018,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"H18SP19",NA,2,NA,NA,NA,"Northern"
"79",2178,2436,2436,"IMS","H18Sp2",2018,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,2.1,1,0.5,6,NA,NA,NA,22,NA,NA,"H18SP2",1.05,2,NA,NA,0.75,"Northern"
"80",3075,3075,3075,"MG","H18Sp24",2018,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,2.5,3.5,2.5,6,10,11,22,8,2,7,"H18SP24",21.875,4,5.66666666666667,14.3333333333333,3,"Northern"
"81",2191,2449,2449,"IMS","H18Sp4",2018,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,19.4,8.8,3.3,4,NA,NA,NA,23,22,30,"H18SP4",563.376,2,25,NA,6.05,"Northern"
"82",2192,2450,2450,"IMS","H18Sp5",2018,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,13.5,2.2,1.5,6,NA,NA,NA,4,5,22,"H18SP5",44.55,2,10.3333333333333,NA,1.85,"Northern"
"83",2194,2452,2452,"CF","H18Sp7",2018,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,12.1,9.4,2.4,7,NA,NA,NA,12,11,14,"H18SP7",272.976,2,12.3333333333333,NA,5.9,"Northern"
"84",2743,2076,2076,"CF","H18Sp8",2018,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,1.5,3,0.9,2,15,19,NA,5,NA,NA,"H18SP8",4.05,3,NA,NA,1.95,"Northern"
"85",2196,2454,2454,"CF","H18Sp9",2018,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,5.6,7.1,2.4,5,16,14,NA,3,4,2,"H18SP9",95.424,2,3,NA,4.75,"Northern"
"86",2988,2988,2988,"GD","H18Sr10",2018,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,6,14,9,10,20,24,13,NA,NA,NA,"H18SR10",756,4,NA,19,11.5,"Northern"
"87",2208,2466,2466,"LB","H18Sr2",2018,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,2.9,3.5,2.2,11,NA,NA,NA,2.1,2.4,NA,"H18SR2",22.33,2,NA,NA,2.85,"Northern"
"88",2216,2474,2474,"EW","H18Sr27",2018,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,12.4,7.4,6.4,8,NA,NA,NA,11.1,8.6,NA,"H18SR27",587.264,2,NA,NA,6.9,"Northern"
"89",3176,3176,3176,"EW","H18Sr29",2018,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,3,13,8,6,19,22,25,5,4,3,"H18SR29",312,4,4,22,10.5,"Northern"
"90",3171,3171,3171,"EW","H18Sr30",2018,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,10,14,12,14,30,30,25,45,32,24,"H18SR30",1680,4,33.6666666666667,28.3333333333333,13,"Northern"
