"","Species","plant_tag_id","sample_id","date_sampled","total_leaf_dry_mass_g","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","month","year","DOY","population","LDMC_g_g","Site","site_id","total_leaf_dry_mass_mg","Wood_density_mg_mm3","Lat","Lon","Elevation_m","date","MONTH"
"103","Salix pulchra","KLSPE6",109297462,"2021-08-08",0.4,10.481,95.4107432496899,41.7101147028154,0.0133336513691442,0.983,41.924,0.959,"08","2021","220","Southern",0.406917599186165,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"104","Salix richardsonii","KLSRE4",109297512,"2021-08-08",0.805,12.0811180124224,82.7737961810947,38.3881735813066,0.0132849372255869,2.216,97.253,2.097,"08","2021","220","Southern",0.36326714801444,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"105","Salix pulchra","HERSP24",137056074,"2022-06-25",NA,NA,NA,NA,NA,NA,NA,0.33,"06","2022","176","Northern",NA,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"106","Salix pulchra","HERSP3",137056184,"2022-06-25",0.105,15.3047619047619,65.3391412570006,33.8709677419355,0.0127566894835096,0.33,16.07,0.31,"06","2022","176","Northern",0.318181818181818,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"107","Salix pulchra","KLSPE4",137056264,"2022-06-25",0.105,24.7780952380952,40.3582273129108,18.0722891566265,0.0182957297151862,0.62,26.017,0.581,"06","2022","176","Southern",0.169354838709677,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"108","Salix richardsonii","H17SR5",137056822,"2022-06-25",0.264,14.2026515151515,70.4093879183891,24,0.0222963061741566,1.103,37.495,1.1,"06","2022","176","Northern",0.239347234814143,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"109","Salix richardsonii","KP17SR2",137056896,"2022-06-25",0.368,12.0296195652174,83.1281483656735,32.8571428571429,0.0169870564051594,1.24,44.269,1.12,"06","2022","176","Southern",0.296774193548387,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"110","Salix richardsonii","HEFSR4",137056973,"2022-06-25",0.16,12.3825,80.7591358772461,28.8808664259928,0.0198869372097719,0.61,19.812,0.554,"06","2022","176","Northern",0.262295081967213,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"111","Salix pulchra","PC16CWSP7",137057051,"2022-06-25",0.337,10.5528189910979,94.7614093299216,38.9595375722543,0.0148468914321064,0.92,35.563,0.865,"06","2022","176","Southern",0.366304347826087,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"112","Salix pulchra","PC17SP1",137057113,"2022-06-25",0.302,13.0917218543046,76.3841464956876,29.5210166177908,0.0182360826567519,1.1,39.537,1.023,"06","2022","176","Southern",0.274545454545454,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"113","Salix richardsonii","H17SR9",137057195,"2022-06-25",0.137,16.5671532846715,60.3604000528704,29.6536796536797,0.014319073005243,0.52,22.697,0.462,"06","2022","176","Northern",0.263461538461538,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"114","Salix richardsonii","H17SR13",137057346,"2022-06-25",0.209,10.5784688995215,94.5316386991723,32.1044546850998,0.0199918585191551,0.71,22.109,0.651,"06","2022","176","Northern",0.294366197183099,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"115","Salix richardsonii","HESR8",137057417,"2022-06-25",0.149,14.3161073825503,69.8513899957808,30.7216494845361,0.0157517228446861,0.54,21.331,0.485,"06","2022","176","Northern",0.275925925925926,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"116","Salix richardsonii","KLSRE10",137057472,"2022-06-25",0.351,13.242735042735,75.5131018458758,32.3502304147466,0.0157910589045222,1.19,46.482,1.085,"06","2022","176","Southern",0.294957983193277,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
