"","PhenocamID","Year","Species","First_bud_burst","First_leaf_yellow","All_leaves_yellow","First_bud_burst_DOY","First_leaf_yellow_DOY","All_leaves_yellow_DOY","population"
"133","KLUANECAM3",2021,"Salix pulchra",2021-05-19,2021-06-23,2021-07-21,139,174,202,"Northern Garden"
"134","KLUANECAM3",2021,"Salix pulchra",NA,2021-08-04,2021-08-06,NA,216,218,"Northern Garden"
"135","KLUANECAM3",2021,"Salix pulchra",2021-05-20,NA,NA,140,NA,NA,"Southern Garden"
"136","KLUANECAM3",2021,"Salix pulchra",2021-05-23,2021-07-16,2021-08-16,143,197,228,"Southern Garden"
"137","KLUANECAM3",2021,"Salix pulchra",2021-05-19,2021-07-08,2021-07-16,139,189,197,"Northern Garden"
"138","KLUANECAM3",2022,"Salix richardsonii",NA,2022-08-17,NA,NA,229,NA,"Southern Garden"
"139","KLUANECAM3",2022,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Southern Garden"
"140","KLUANECAM3",2022,"Salix richardsonii",NA,2022-08-15,NA,NA,227,NA,"Southern Garden"
"141","KLUANECAM3",2022,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Southern Garden"
"142","KLUANECAM3",2022,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Southern Garden"
"143","KLUANECAM3",2022,"Salix pulchra",NA,NA,NA,NA,NA,NA,"Northern Garden"
"144","KLUANECAM3",2022,"Salix pulchra",NA,NA,NA,NA,NA,NA,"Southern Garden"
"145","KLUANECAM3",2022,"Salix pulchra",NA,2022-07-15,2022-08-03,NA,196,215,"Northern Garden"
"146","KLUANECAM3",2022,"Salix pulchra",NA,NA,NA,NA,NA,NA,"Northern Garden"
"147","KLUANECAM3",2022,"Salix pulchra",NA,NA,NA,NA,NA,NA,"Southern Garden"
"148","KLUANECAM3",2022,"Salix pulchra",NA,2022-08-16,NA,NA,228,NA,"Southern Garden"
"149","KLUANECAM3",2022,"Salix pulchra",NA,2022-07-17,2022-07-26,NA,198,207,"Northern Garden"
"150","KLUANECAM4",2021,"Salix richardsonii",NA,2021-08-08,2021-09-07,NA,220,250,"Southern Garden"
"151","KLUANECAM4",2021,"Salix pulchra",NA,2021-08-10,2021-09-09,NA,222,252,"Southern Garden"
"152","KLUANECAM4",2021,"Salix richardsonii",NA,2021-08-15,2021-09-14,NA,227,257,"Southern Garden"
"153","KLUANECAM4",2021,"Salix richardsonii",NA,2021-08-06,2021-09-14,NA,218,257,"Northern Garden"
"154","KLUANECAM4",2021,"Salix richardsonii",NA,2021-08-07,2021-08-25,NA,219,237,"Southern Garden"
"155","KLUANECAM4",2021,"Salix richardsonii",NA,2021-08-10,2021-08-31,NA,222,243,"Southern Garden"
"156","KLUANECAM4",2022,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Southern Garden"
"157","KLUANECAM4",2022,"Salix pulchra",NA,NA,NA,NA,NA,NA,"Southern Garden"
"158","KLUANECAM4",2022,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Southern Garden"
"159","KLUANECAM4",2022,"Salix richardsonii",NA,2022-08-06,NA,NA,218,NA,"Northern Garden"
"160","KLUANECAM4",2022,"Salix richardsonii",NA,2022-08-08,NA,NA,220,NA,"Southern Garden"
"161","KLUANECAM4",2022,"Salix richardsonii",NA,2022-08-04,NA,NA,216,NA,"Southern Garden"
"162","KP1-2021",2021,"Salix pulchra",NA,2021-07-20,2021-09-12,NA,201,255,"Southern Source"
