"","Species","plant_tag_id","sample_id","date_sampled","site_id","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","number_leaves","Site","year","DOY","total_leaf_dry_mass_mg","LDMC_g_g","Plant_height_veg_m","Plant_height_repro_m","Seed_mass_dry_mg","Wood_density_mg_mm3","Species_sex","Lat","Lon","Elevation_m","date","Data_contributor","Data_coPIs","ValueKindName","MONTH"
"53","Salix richardsonii","KP5-2021-SARI",107572569,"2021-07-19","KP_mid",11.3749336870027,87.91260041741,34.6666666666667,0.0165681439248196,2.24,8576.7,2.175,8,"Kluane","2021","200",754,0.336607142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Salix pulchra","KP9-2021-SAPU",107572592,"2021-07-19","KP_mid",13.2205962059621,75.6395539521154,38.801261829653,0.0119301410298458,0.986,4878.4,0.951,10,"Kluane","2021","200",369,0.374239350912779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Salix richardsonii","KP9-2021-SARI",107572621,"2021-07-19","KP_mid",10.3364306784661,96.745194845964,36.5301724137931,0.0168091208744167,1.941,7008.1,1.856,8,"Kluane","2021","200",678,0.349304482225657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Salix richardsonii","KP4-2021-SARI",107572678,"2021-07-19","KP_high",9.80134730538922,102.026789669024,33.2835077229696,0.0204511783483268,2.126,6547.3,2.007,8,"Kluane","2021","200",668,0.314205079962371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Salix pulchra","KP4-2021-SAPU",107572700,"2021-07-19","KP_high",11.5676998368679,86.4476096460302,38.8959390862944,0.0135805951205754,1.578,7091,1.576,8,"Kluane","2021","200",613,0.388466413181242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Salix richardsonii","KP6-2021-SARI-2",107572722,"2021-07-19","KP_high",13.8338624338624,72.2863917998929,31.6936836221353,0.0155791835589893,1.867,7843.8,1.789,8,"Kluane","2021","200",567,0.303695768612748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Salix richardsonii","KP6-2021-SARI-1",107572748,"2021-07-19","KP_high",14.6262948207171,68.3700152538679,30.0418910831837,0.0159212246676836,1.701,7342.4,1.671,8,"Kluane","2021","200",502,0.29512051734274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Salix pulchra","KP6-2021-SAPU",107572784,"2021-07-19","KP_high",12.3343195266272,81.074598224994,37.5555555555556,0.0134804509474694,1.381,6253.5,1.35,8,"Kluane","2021","200",507,0.367125271542361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Salix richardsonii","KP8-2021-SARI-1",107572830,"2021-07-19","KP_high",10.8723333333333,91.9765766318178,32.4558240173098,0.0191413475590439,2.857,9785.1,2.773,8,"Kluane","2021","200",900,0.315015750787539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Salix richardsonii","KP8-2021-SARI-2",107572855,"2021-07-19","KP_high",10.7296851574213,93.1993796023307,35.3283898305085,0.0170609359062138,2.014,7156.7,1.888,6,"Kluane","2021","200",667,0.331181727904667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Salix arctica","KP-ALP-SAAR1",107572873,"2021-07-19","KP_alpine",11.7053050397878,85.4313489995241,32.0851063829787,0.0180833465521539,1.196,4412.9,1.175,10,"Kluane","2021","200",377,0.315217391304348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Salix richardsonii","KP-ALP-SARI1",107572895,"2021-07-19","KP_alpine",16.0073800738007,62.4711848778239,28.4663865546219,0.0156984785615491,0.958,4338,0.952,10,"Kluane","2021","200",271,0.282881002087683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Salix arctica","KP-ALP-SAAR2",107572917,"2021-07-19","KP_alpine",13.6334190231362,73.349172229136,28.9219330855019,0.0180261718897311,1.397,5303.4,1.345,10,"Kluane","2021","200",389,0.278453829634932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Salix richardsonii","KP-ALP-SARI2",107572939,"2021-07-19","KP_alpine",15.1079096045198,66.1904939979806,28.0729579698652,0.016958976852025,1.267,5348.2,1.261,10,"Kluane","2021","200",354,0.279400157853197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Salix arctica","KP-ALP-SAAR3",107572966,"2021-07-19","KP_alpine",11.7888888888889,84.8256361922714,34.4846195358878,0.0161155434017868,1.888,7533.1,1.853,10,"Kluane","2021","200",639,0.338453389830508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Salix richardsonii","KP-ALP-SARI3",107572986,"2021-07-19","KP_alpine",11.7484337349398,85.1177291000082,30.8550185873606,0.0190745754368693,1.375,4875.6,1.345,10,"Kluane","2021","200",415,0.301818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Salix arctica","SARC2",139632532,"2022-07-25","Qikiqtaruk",12,83.3333333333333,33.6231884057971,0.0164511494252874,1.742,6681.6,1.656,6,"Qikiqtaruk","2022","206",556.8,0.31963260619977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Salix arctica","SARC3",139632634,"2022-07-25","Qikiqtaruk",13.1246214415506,76.1926737813672,30.1414879050662,0.0176590712431497,2.243,8667.5,2.191,6,"Qikiqtaruk","2022","206",660.4,0.294427106553723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Salix richardsonii","SRIC2",139721322,"2022-07-26","Qikiqtaruk",12.822861887628,77.9857108938246,30.2596314907873,0.0179736234324073,1.275,4632.9,1.194,6,"Qikiqtaruk","2022","207",361.3,0.283372549019608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Salix richardsonii","SRIC3",139721384,"2022-07-26","Qikiqtaruk",NA,NA,NA,NA,1.457,5707.7,1.383,6,"Qikiqtaruk","2022","207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Salix pulchra","SPUL1",139721537,"2022-07-26","Qikiqtaruk",12.2786689011252,81.4420527218843,34.8083333333333,0.0152530806426455,1.246,5128.8,1.2,6,"Qikiqtaruk","2022","207",417.7,0.335232744783307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Salix pulchra","SPUL2",139721606,"2022-07-26","Qikiqtaruk",12.9560780834073,77.183850974215,36.4135702746365,0.0134780673218505,0.645,2920.3,0.619,6,"Qikiqtaruk","2022","207",225.4,0.349457364341085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Salix pulchra","SPUL3",139721663,"2022-07-26","Qikiqtaruk",13.572972972973,73.6758263639984,33.2335329341317,0.0148015398911456,0.69,3013.2,0.668,6,"Qikiqtaruk","2022","207",222,0.321739130434783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Salix arctica","",139632391,"2022-07-25","Qikiqtaruk",9.24487594390507,108.168028004667,30.7389862624349,0.0243723953992332,2.159,5999,2.111,6,"Qikiqtaruk","2022","206",648.9,0.300555812876332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Salix richardsonii","SRIC1",139721255,"2022-07-26","Qikiqtaruk",15.5254817987152,64.4102394350656,28.756157635468,0.0159577402626062,0.904,3625.2,0.812,6,"Qikiqtaruk","2022","207",233.5,0.258296460176991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Salix arctica",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Kluane","2014","188",NA,NA,0.023,0.051,NA,NA,"f",61.10549,-138.6618,1693,"07-Jul","Isla Myers-Smith","","Individual Mean","7"
"79","Salix arctica",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Kluane","2014","188",NA,NA,0.03,0.049,NA,NA,"f",61.10549,-138.6618,1693,"07-Jul","Isla Myers-Smith","","Individual Mean","7"
"80","Salix arctica",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Kluane","2014","188",NA,NA,0.04,0.058,NA,NA,"f",61.10549,-138.6618,1693,"07-Jul","Isla Myers-Smith","","Individual Mean","7"
"81","Salix arctica",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Kluane","2014","188",NA,NA,0.019,0.035,NA,NA,"f",61.10549,-138.6618,1693,"07-Jul","Isla Myers-Smith","","Individual Mean","7"
"82","Salix arctica",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Kluane","2014","188",10,NA,0.026,0.055,NA,NA,"f",61.10549,-138.6618,1693,"07-Jul","Isla Myers-Smith","","Individual Mean","7"
"83","Salix arctica",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Kluane","2014","189",25,NA,0.045,0.09,NA,NA,"f",61.10549,-138.6618,1693,"08-Jul","Isla Myers-Smith","","Individual Mean","7"
"84","Salix arctica",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Kluane","2014","189",30,NA,0.029,0.061,NA,NA,"f",61.10549,-138.6618,1693,"08-Jul","Isla Myers-Smith","","Individual Mean","7"
"85","Salix arctica",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Kluane","2014","189",25,NA,0.041,0.074,NA,NA,"f",61.10549,-138.6618,1693,"08-Jul","Isla Myers-Smith","","Individual Mean","7"
"86","Salix arctica",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Kluane","2014","189",30,NA,0.058,0.113,NA,NA,"f",61.10549,-138.6618,1693,"08-Jul","Isla Myers-Smith","","Individual Mean","7"
"87","Salix arctica",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Kluane","2014","189",5,NA,0.064,0.055,NA,NA,"m",61.10549,-138.6618,1693,"08-Jul","Isla Myers-Smith","","Individual Mean","7"
