"","Bed","SampleID","Bed_old","SampleID_old","Year_planted","Species","Site","Plant_ID_fulcrum","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Fresh_mass","Dry_mass","LA","LDMC","SLA","Notes_canopy_height_prev_cm","August_2021_notes","July_2021_notes"
"96","SW","HESr13",NA,"HESr13",2013,"Salix richardsonii","Qikiqtaruk",NA,"02/06/2015","6","2",2015,NA,NA,NA,NA,30,18,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","SW","HESr13",NA,"HESr13",2013,"Salix richardsonii","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,33,20,35,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","SW","HESr13",NA,"HESr13",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,13,20,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","IR","HESr16",NA,"HESr16",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","IR","HESr17",NA,"HESr17",2013,"Salix richardsonii","Qikiqtaruk",NA,"02/06/2015","6","2",2015,NA,NA,NA,NA,30,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","IR","HESr17",NA,"HESr17",2013,"Salix richardsonii","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,40,25,30,15,10,2,NA,NA,NA,NA,NA,"Herb 5",NA,NA
"102","IR","HESr17",NA,"HESr17",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,20,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","LB","HESr2",NA,"HESr2",2013,"Salix richardsonii","Qikiqtaruk",NA,"18/05/2015","5","18",2015,NA,NA,NA,NA,11.27,10.95,11.05,NA,NA,NA,NA,NA,NA,NA,NA,"At base",NA,NA
"104","LB","HESr2",NA,"HESr2",2013,"Salix richardsonii","Qikiqtaruk",NA,"02/06/2015","6","2",2015,NA,NA,NA,NA,15,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","LB","HESr2",NA,"HESr2",2013,"Salix richardsonii","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,27,24,25,32,10,9,NA,NA,NA,NA,NA,NA,NA,NA
"106","LB","HESr2",NA,"HESr2",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,10,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","IR","HESr20",NA,"HESr20",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,11,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","AC","HESr21",NA,"HESr21",2013,"Salix richardsonii","Qikiqtaruk",NA,"18/05/2015","5","18",2015,NA,NA,NA,NA,10.34,8.62,9.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","AC","HESr21",NA,"HESr21",2013,"Salix richardsonii","Qikiqtaruk",NA,"02/06/2015","6","2",2015,NA,NA,NA,NA,20,20,15,27,14,12,NA,NA,NA,NA,NA,NA,NA,NA
"110","AC","HESr21",NA,"HESr21",2013,"Salix richardsonii","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,22,22,21,24,22,10,NA,NA,NA,NA,NA,NA,NA,NA
"111","AC","HESr21",NA,"HESr21",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,17,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","AC","HESr23",NA,"HESr23",2013,"Salix richardsonii","Qikiqtaruk",NA,"18/05/2015","5","18",2015,NA,NA,NA,NA,15.51,13.66,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","AC","HESr23",NA,"HESr23",2013,"Salix richardsonii","Qikiqtaruk",NA,"02/06/2015","6","2",2015,NA,NA,NA,NA,19,20,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","AC","HESr23",NA,"HESr23",2013,"Salix richardsonii","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,27,24,22,14,10,8,NA,NA,NA,NA,NA,NA,NA,NA
