Sample_ID,Match,Species,Sample_location,Sample_location_full,Date_sampled,Date_propagated,Date_planted,Year_planted,Mother_height,Mother_CW_1,Mother_CW_2,Mother_LS,Mother_LL1,Mother_LL2,Mother_LL3,Mother_SE1,Mother_SE2,Mother_SE3,Mother_Sex,Cutting_length,Cutting_diameter,Cutting_age,Year_dead,Survived_2014,Survived_2015,Survived_2016,Survived_2017,Survived_2018,Survived_2019,Survived_2020,Survived_2021,Bed,Row,Column,Notes,Field_notes,Data_notes
H15Sp1,H15Sp1,Salix pulchra,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,16,NA,NA,0.9,NA,NA,NA,NA,NA,NA,Female,46.7,9,14,Alive,NA,NA,1,1,1,1,1,1,1,5,1,NA,,
H15Sp10,H15Sp10,Salix pulchra,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,35,NA,NA,1.2,NA,NA,NA,NA,NA,NA,Female,83.1,9,12,Alive,NA,NA,1,1,1,1,1,1,6,6,3,NA,,
H15Sp13,H15Sp13,Salix pulchra,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,33,NA,NA,1.7,NA,NA,NA,NA,NA,NA,Female,61,11,13,Alive,NA,NA,1,1,1,1,1,1,6,5,3,NA,,
H15Sp15,H15Sp15,Salix pulchra,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,28,NA,NA,0.9,NA,NA,NA,NA,NA,NA,Female,35,9,11,Alive,NA,NA,1,1,1,1,1,1,6,5,5,NA,,
H15Sp19,H15Sp19,Salix pulchra,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,47,NA,NA,1.2,NA,NA,NA,NA,NA,NA,Female,52,9,8,Alive,NA,NA,1,1,1,1,1,1,6,4,5,NA,,
H15Sp2,H15Sp2,Salix pulchra,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,21,NA,NA,0.9,NA,NA,NA,NA,NA,NA,Male,50.7,9,13,Alive,NA,NA,1,1,1,1,1,1,1,4,1,NA,,
H15Sp20,H15Sp20,Salix pulchra,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,25,NA,NA,1.5,NA,NA,NA,NA,NA,NA,Female,34,17,23,Alive,NA,NA,1,1,1,1,1,1,6,4,6,NA,,
H15Sp24,H15Sp24,Salix pulchra,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,24,NA,NA,0.6,NA,NA,NA,NA,NA,NA,Unknown,39.9,6,7,Alive,NA,NA,1,1,1,1,1,1,3,1,7,NA,,
H15Sp25,H15SP25,Salix pulchra,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,24,NA,NA,0.7,NA,NA,NA,NA,NA,NA,Female,33.6,7,12,Alive,NA,NA,1,1,1,1,1,1,8,5,2,NA,,
H15Sp27,H15Sp27,Salix pulchra,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,24,NA,NA,1,NA,NA,NA,NA,NA,NA,Female,490,10,13,Alive,NA,NA,1,1,1,1,1,1,8,5,3,NA,,
H15Sp29,H15Sp29,Salix pulchra,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,32,NA,NA,0.9,NA,NA,NA,NA,NA,NA,Unknown,373,7,10,Alive,NA,NA,1,1,1,1,1,1,8,5,6,NA,,
H15Sp5,H15Sp5,Salix pulchra,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,13,NA,NA,0.8,NA,NA,NA,NA,NA,NA,Female,38,8,9,Alive,NA,NA,1,1,1,1,1,1,1,4,6,NA,,
H15Sp6,H15Sp6,Salix pulchra,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,22,NA,NA,0.9,NA,NA,NA,NA,NA,NA,Unknown,47,11,14,Alive,NA,NA,1,1,1,1,1,1,1,3,1,NA,,
H15Sp8,H15Sp8,Salix pulchra,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,21,NA,NA,1,NA,NA,NA,NA,NA,NA,Female,47.8,10,13,Alive,NA,NA,1,1,1,1,1,1,1,1,3,NA,,
H15Sp9,H15Sp9,Salix pulchra,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,22,NA,NA,0.9,NA,NA,NA,NA,NA,NA,Female,58.1,8,9,Alive,NA,NA,1,1,1,1,1,1,6,6,2,NA,,
H15Sr19,H15Sr19,Salix richardsonii,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,38,181,NA,1.9,NA,NA,NA,NA,NA,NA,Female,35,8,7,Alive,NA,NA,1,1,1,1,1,1,2,3,4,NA,,
H15Sr20,H15Sr20,Salix richardsonii,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,36,201,NA,1.6,NA,NA,NA,NA,NA,NA,Male,40.5,9,11,Alive,NA,NA,1,1,1,1,1,1,2,3,5,NA,,
H15Sr5,H15Sr5,Salix richardsonii,Qikiqtaruk,QHI,15/07/2018,15/07/2018,15/08/2018,2015,44,366,NA,2.1,NA,NA,NA,NA,NA,NA,Male,41.7,8,14,Alive,NA,NA,1,1,1,1,1,1,6,5,2,NA,,
