Bed,SampleID,Bed_old,SampleID_old,Year_planted,Species,Site,Plant_ID_fulcrum,Sample_Date,Month,Day,Year,Canopy_Height_cm,Width_cm,Width_2_cm,Stem_diameter ,Stem_Elongation_1_mm,Stem_Elongation_2_mm,Stem_Elongation_3_mm,Length_1_mm,Length_2_mm,Length_3_mm,Fresh_mass,Dry_mass,LA,LDMC,SLA,Notes_canopy_height_prev_cm,August_2021_notes,July_2021_notes
IR,HESr20,NA,HESr20,2013,Salix richardsonii,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,11,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,HESr21,NA,HESr21,2013,Salix richardsonii,Qikiqtaruk,NA,18/05/2015,5,18,2015,NA,NA,NA,NA,10.34,8.62,9.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,HESr21,NA,HESr21,2013,Salix richardsonii,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,20,20,15,27,14,12,NA,NA,NA,NA,NA,NA,NA,NA
AC,HESr21,NA,HESr21,2013,Salix richardsonii,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,22,22,21,24,22,10,NA,NA,NA,NA,NA,NA,NA,NA
AC,HESr21,NA,HESr21,2013,Salix richardsonii,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,17,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,HESr23,NA,HESr23,2013,Salix richardsonii,Qikiqtaruk,NA,18/05/2015,5,18,2015,NA,NA,NA,NA,15.51,13.66,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,HESr23,NA,HESr23,2013,Salix richardsonii,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,19,20,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,HESr23,NA,HESr23,2013,Salix richardsonii,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,27,24,22,14,10,8,NA,NA,NA,NA,NA,NA,NA,NA
AC,HESr23,NA,HESr23,2013,Salix richardsonii,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,14,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,HESr24,NA,HESr24,2013,Salix richardsonii,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,14,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,HESr26,NA,HESr26,2013,Salix richardsonii,Qikiqtaruk,NA,22/05/2015,5,22,2015,NA,NA,NA,NA,12.13,11.45,9.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,HESr26,NA,HESr26,2013,Salix richardsonii,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,22,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,HESr26,NA,HESr26,2013,Salix richardsonii,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,21,22,23,13,8,6,NA,NA,NA,NA,NA,NA,NA,NA
AC,HESr26,NA,HESr26,2013,Salix richardsonii,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,15,19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,HESr27,NA,HESr27,2013,Salix richardsonii,Qikiqtaruk,NA,18/05/2015,5,18,2015,NA,NA,NA,NA,17.44,21.83,9.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
