"","Bed","SampleID","Bed_old","SampleID_old","Year_planted","Species","Site","Plant_ID_fulcrum","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Fresh_mass","Dry_mass","LA","LDMC","SLA","Notes_canopy_height_prev_cm","August_2021_notes","July_2021_notes","Sample_age","mean_stem_elong","mean_leaf_length"
"72","CF","H15Sp20",NA,"H15Sp20",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,3.2,NA,NA,NA,33,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"73","MG","H15Sp21",NA,"H15Sp21",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"74","MG","H15Sp22",NA,"H15Sp22",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"75","MG","H15Sp23",NA,"H15Sp23",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,9.5,NA,NA,NA,NA,NA,NA,19,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"76","MG","H15Sp24",NA,"H15Sp24",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,1,NA,NA
"77","AB","H15Sp25",NA,"H15Sp25",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,3.6,NA,NA,NA,23,21,19,22,NA,NA,NA,NA,NA,NA,NA,"Some herbivory",NA,NA,1,21,NA
"78","AB","H15Sp26",NA,"H15Sp26",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"79","AB","H15Sp27",NA,"H15Sp27",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,19,NA,NA,NA,21,17,15,18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17.6666666666667,NA
"80","AB","H15Sp28",NA,"H15Sp28",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"81","AB","H15Sp29",NA,"H15Sp29",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,4.3,NA,NA,NA,22,17,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA
"82","AB","H15Sp29",NA,"H15Sp29",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,5.7,NA,NA,NA,24,23,10,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19,NA
"83","IMS","H15Sp3",NA,"H15Sp3",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"84","AB","H15Sp30",NA,"H15Sp30",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"85","IMS","H15Sp4",NA,"H15Sp4",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"86","IMS","H15Sp5",NA,"H15Sp5",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,1,NA,NA,NA,11,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"87","IMS","H15Sp6",NA,"H15Sp6",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"88","IMS","H15Sp7",NA,"H15Sp7",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"89","IMS","H15Sp8",NA,"H15Sp8",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,17,NA,NA,NA,30,28,21,11,9,12,NA,NA,NA,NA,NA,NA,NA,NA,1,26.3333333333333,10.6666666666667
"90","CF","H15Sp9",NA,"H15Sp9",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,31.3,NA,NA,NA,33,36,42,27,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,37,NA
"91","LB","H15Sr1",NA,"H15Sr1",2015,"Salix richardsonii","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"92","LB","H15Sr10",NA,"H15Sr10",2015,"Salix richardsonii","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"93","LB","H15Sr11",NA,"H15Sr11",2015,"Salix richardsonii","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"94","SW","H15Sr12",NA,"H15Sr12",2015,"Salix richardsonii","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"95","SW","H15Sr13",NA,"H15Sr13",2015,"Salix richardsonii","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"96","SW","H15Sr14",NA,"H15Sr14",2015,"Salix richardsonii","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"97","SW","H15Sr15",NA,"H15Sr15",2015,"Salix richardsonii","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"98","SW","H15Sr16",NA,"H15Sr16",2015,"Salix richardsonii","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"99","SW","H15Sr17",NA,"H15Sr17",2015,"Salix richardsonii","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"100","SW","H15Sr18",NA,"H15Sr18",2015,"Salix richardsonii","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"101","SW","H15Sr19",NA,"H15Sr19",2015,"Salix richardsonii","Qikiqtaruk",NA,"11/08/2016","8","11",2016,5.4,NA,NA,NA,29,31,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,23.3333333333333,NA
"102","LB","H15Sr2",NA,"H15Sr2",2015,"Salix richardsonii","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"103","SW","H15Sr20",NA,"H15Sr20",2015,"Salix richardsonii","Qikiqtaruk",NA,"11/08/2016","8","11",2016,5.4,NA,NA,NA,21,25,19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21.6666666666667,NA
