"","SampleID_standard","Length_1_mm","Length_2_mm","Length_3_mm","Month","Day","Year","Site","population","Species","mean_leaf_length","Bed","Year_planted","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","mean_stem_elong","mean_width","Latitude","Longitude","Elevation","Sample_ID","Sample_age"
"74","H15SP22",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"MG",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"75","H15SP23",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"MG",2015,9.5,NA,NA,NA,19,16,NA,NA,NA,NA,NA,NA,NA,1
"76","H15SP24",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"MG",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"77","H15SP25",23,21,19,8,11,2016,"Common_garden","Northern","Salix pulchra",21,"AB",2015,3.6,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,1
"78","H15SP26",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"AB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"79","H15SP27",21,17,15,8,11,2016,"Common_garden","Northern","Salix pulchra",17.6666666666667,"AB",2015,19,NA,NA,NA,18,13,NA,NA,NA,NA,NA,NA,NA,1
"80","H15SP28",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"AB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"81","H15SP29",22,17,21,8,11,2016,"Common_garden","Northern","Salix pulchra",20,"AB",2015,4.3,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,1
"82","H15SP29",24,23,10,8,11,2016,"Common_garden","Northern","Salix pulchra",19,"AB",2015,5.7,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,1
"83","H15SP3",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"IMS",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"84","H15SP30",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"AB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"85","H15SP4",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"IMS",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"86","H15SP5",11,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"IMS",2015,1,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,1
"87","H15SP6",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"IMS",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"88","H15SP7",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"IMS",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"89","H15SP8",30,28,21,8,11,2016,"Common_garden","Northern","Salix pulchra",26.3333333333333,"IMS",2015,17,NA,NA,NA,11,9,12,10.6666666666667,NA,NA,NA,NA,NA,1
"90","H15SP9",33,36,42,8,11,2016,"Common_garden","Northern","Salix pulchra",37,"CF",2015,31.3,NA,NA,NA,27,9,NA,NA,NA,NA,NA,NA,NA,1
"91","H15SR1",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"LB",2015,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,1
"92","H15SR10",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"LB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"93","H15SR11",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"LB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"94","H15SR12",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"SW",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"95","H15SR13",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"SW",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"96","H15SR14",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"SW",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"97","H15SR15",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"SW",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"98","H15SR16",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"SW",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"99","H15SR17",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"SW",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"100","H15SR18",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"SW",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"101","H15SR19",29,31,10,8,11,2016,"Common_garden","Northern","Salix richardsonii",23.3333333333333,"SW",2015,5.4,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,1
"102","H15SR2",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"LB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
